
Source                                    CommandType Synopsis
NetLbfo                                      Function Add-NetLbfoTeamMember [-Name] <WildcardPattern> [-Team] <string> [[-AdministrativeMode] <AdminModes>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<Common…
NetLbfo                                      Function Add-NetLbfoTeamNic [-Team] <string> [-VlanID] <uint> [[-Name] <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]
NetNat                                       Function Add-NetNatExternalAddress [-NatName] <string> -IPAddress <string> [-PortStart <ushort>] [-PortEnd <ushort>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<…
NetNat                                       Function Add-NetNatStaticMapping [-NatName] <string> -Protocol <Protocol> -ExternalIPAddress <string> -ExternalPort <ushort> -InternalIPAddress <string> [-RemoteExternalIPAddressPrefix <string>] [-Inte…
NetSwitchTeam                                Function Add-NetSwitchTeamMember [-Name] <string> [-Team] <string> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
Wdac                                         Function Add-OdbcDsn [-Name] <string> -DriverName <string> -DsnType <string> [-SetPropertyValue <string[]>] [-PassThru] [-Platform <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob]…
Storage                                      Function Add-PartitionAccessPath [-WhatIf] [-Confirm] [<CommonParameters>]Add-PartitionAccessPath [[-AccessPath] <string>] -DiskId <string[]> -Offset <ulong[]> [-AssignDriveLetter] [-CimSession <CimSes…
Storage                                      Function Add-PhysicalDisk [-StoragePool] <CimInstance#MSFT_StoragePool> -PhysicalDisks <CimInstance#MSFT_PhysicalDisk[]> [-Usage <Usage>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-…
PrintManagement                              Function Add-Printer [-ConnectionName] <string> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]Add-Printer [-Comment <string>] [-Datatype <string>…
PrintManagement                              Function Add-PrinterDriver [-Name] <string> [[-InfPath] <string>] [-PrinterEnvironment <string>] [-ComputerName <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confir…
PrintManagement                              Function Add-PrinterPort [-Name] <string> [-ComputerName <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]Add-PrinterPort [-Name] <string>…
ConfigCI                                     Function Add-SignerRule -FilePath <string> -CertificatePath <string> [-Kernel] [-User] [-Update] [-Supplemental] [-Deny] [<CommonParameters>]Add-SignerRule -FilePath <string> -CertStorePath <string> [-…
Storage                                      Function Add-StorageFaultDomain [-VirtualDisk] <CimInstance#MSFT_VirtualDisk> [-StorageFaultDomains <CimInstance#MSFT_StorageFaultDomain[]>] [-StorageFaultDomainFriendlyNames <string[]>] [-CimSession <…
Storage                                      Function Add-TargetPortToMaskingSet [-MaskingSetFriendlyName] <string[]> [-TargetPortAddresses <string[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [-WhatIf] [-Confirm] …
Storage                                      Function Add-VirtualDiskToMaskingSet [-MaskingSetFriendlyName] <string[]> [-VirtualDisknames <string[]>] [-DeviceNumbers <ushort[]>] [-DeviceAccesses <DeviceAccess[]>] [-CimSession <CimSession[]>] [-Th…
VMDirectStorage                              Function Add-VMDirectVirtualDisk [-VMName] <string[]> [[-ControllerType] <ControllerType>] [[-ControllerNumber] <int>] [[-ControllerLocation] <int>] [-CimSession <CimSession[]>] [-VirtualDiskUniqueId <…
VpnClient                                    Function Add-VpnConnection [-Name] <string> [-ServerAddress] <string> [-SplitTunneling] [-RememberCredential] [-PlugInApplicationID] <string> -CustomConfiguration <xml> [-Force] [-PassThru] [-ServerLis…
VpnClient                                    Function Add-VpnConnectionRoute [-ConnectionName] <string> [-DestinationPrefix] <string> [[-RouteMetric] <uint>] [-AllUserConnection] [-PassThru] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-A…
VpnClient                                    Function Add-VpnConnectionTriggerApplication [-ConnectionName] <string> [-ApplicationID] <string[]> [-PassThru] [-Force] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm…
VpnClient                                    Function Add-VpnConnectionTriggerDnsConfiguration [-ConnectionName] <string> [-DnsSuffix] <string> [[-DnsIPAddress] <string[]>] [-PassThru] [-Force] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] …
VpnClient                                    Function Add-VpnConnectionTriggerTrustedNetwork [-ConnectionName] <string> [-DnsSuffix] <string[]> [-PassThru] [-Force] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm]…
